X,Y,Z,TimeStmp,Day,Time,,,,,,,,,,,
-0.2645593,3.3889925,9.544485,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.37588966,3.393781,9.385271,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2789245,3.3770216,9.028535,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1448492,3.4332852,8.986636,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.11731588,3.4476504,9.115923,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.01316811,3.4105403,9.325416,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.12090719,3.3842041,9.648633,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.10414778,3.3794158,9.459491,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.06584055,3.3626564,9.332599,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.22146365,3.3877954,9.076419,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.41060558,3.4691982,9.16261,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.5446809,3.4404678,9.329007,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.4141969,3.3997664,9.198523,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.22146365,3.4249055,9.222465,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.034715924,3.441665,9.36492,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.021547815,3.4320881,9.323022,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.04070143,3.4009635,9.244013,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
0.089782566,3.4093432,9.294291,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
0.2801216,3.3159695,9.308656,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
0.51954174,3.3147724,9.246407,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
0.39264908,3.3842041,9.345766,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.022744916,3.429694,9.423578,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.14724341,3.4368765,9.42238,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.11492168,3.4272997,9.111135,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1364695,3.4727895,8.985439,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.21068975,3.4871547,9.124303,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.29807812,3.4919431,9.197326,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2657564,3.441665,9.14585,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.12689269,3.3482912,9.232041,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.05626374,3.276465,9.423578,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.21667525,3.3446999,9.512163,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.35793316,3.4476504,9.51336,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2908955,3.4811692,9.269152,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.04309563,3.466804,9.077616,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
0.2753332,3.4081461,9.093178,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
0.15682021,3.333926,9.385271,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.009576807,3.2980127,9.431957,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.31244332,3.2788591,9.506178,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2693477,3.406949,9.433155,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
0.046686932,3.429694,9.466674,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
0.11611878,3.369839,9.099164,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.05865794,3.4476504,9.074024,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.29209262,3.5446155,9.229648,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
